,diversity_index,housing_index,income_index,urban_index,zip5,ZIPName,State,ZCTA5
6763,0.148947130558,0.0225562619033,0.644990198303,0.148947130558,46773,"Monroeville, IN",IN,46773
6764,0.167056276413,0.023924526297,0.613076328451,0.167056276413,46774,"New Haven, IN",IN,46774
6765,0.101609056115,0.0322336899509,0.641996676073,0.101609056115,46777,"Ossian, IN",IN,46777
6766,0.172618658444,0.0273427375751,0.621532128837,0.172618658444,46779,"Pleasant Lake, IN",IN,46779
6767,0.0293995730725,0.0415353901768,0.695006757067,0.0293995730725,46783,"Roanoke, IN",IN,46783
6768,0.0237432832797,0.0379362594104,0.590162521223,0.0237432832797,46784,"Rome City, IN",IN,46784
6769,0.0977412763608,0.0231764450324,0.653457020515,0.0977412763608,46787,"South Whitley, IN",IN,46787
6770,0.0492881440689,0.0432048737529,0.665937014709,0.0492881440689,46788,"Spencerville, IN",IN,46788
6771,0.107735663656,0.0199635030437,0.598886683055,0.107735663656,46792,"Warren, IN",IN,46792
6772,0.124157603,0.0256294813897,0.586016070766,0.124157603,46793,"Waterloo, IN",IN,46793
6773,0.0832693871812,0.02266968993,0.55762714015,0.0832693871812,46794,"Wawaka, IN",IN,46794
6774,0.050218317812,0.0400420998613,0.624482034507,0.050218317812,46795,"Wolcottville, IN",IN,46795
6775,0.0547461129155,0.0292356945531,0.695416908409,0.0547461129155,46797,"Woodburn, IN",IN,46797
6776,0.24766806273,0.0420072048836,0.651790607902,0.24766806273,46804,"Fort Wayne, IN",IN,46804
6777,0.437821329888,0.0127406640206,0.491960584737,0.437821329888,46805,"Fort Wayne, IN",IN,46805
6778,0.660875596371,0.00263519860384,0.38468179901,0.660875596371,46806,"Fort Wayne, IN",IN,46806
6779,0.566818309573,0.0091807216165,0.511572720954,0.566818309573,46807,"Fort Wayne, IN",IN,46807
6780,0.354223788016,0.0104201873649,0.529377640784,0.354223788016,46808,"Fort Wayne, IN",IN,46808
6781,0.430911476132,0.0136432162358,0.522427075846,0.430911476132,46809,"Fort Wayne, IN",IN,46809
6782,0.340972701244,0.0289889322215,0.642175392541,0.340972701244,46815,"Fort Wayne, IN",IN,46815
6783,0.693224647961,0.0151048305987,0.440743776038,0.693224647961,46816,"Fort Wayne, IN",IN,46816
6784,0.25718440091,0.035711362455,0.628054412618,0.25718440091,46818,"Fort Wayne, IN",IN,46818
6785,0.430476717402,0.0211612748854,0.615036436729,0.430476717402,46819,"Fort Wayne, IN",IN,46819
6786,0.373484243143,0.0296167337461,0.603938346403,0.373484243143,46825,"Fort Wayne, IN",IN,46825
6787,0.273665144781,0.0298399424007,0.656354953193,0.273665144781,46835,"Fort Wayne, IN",IN,46835
6788,0.236036435593,0.0522295663366,0.71493952268,0.236036435593,46845,"Fort Wayne, IN",IN,46845
6789,0.290393703842,0.0125064239862,0.519170035825,0.290393703842,46901,"Kokomo, IN",IN,46901
6790,0.274203056312,0.0196417081357,0.551348314622,0.274203056312,46902,"Kokomo, IN",IN,46902
6791,0.377991312067,0.0194238910687,0.627172225821,0.377991312067,46910,"Akron, IN",IN,46910
6792,0.0336248696982,0.0320440841816,0.656028307406,0.0336248696982,46913,"Bringhurst, IN",IN,46913
6793,0.0424898681287,0.0198391203222,0.627886135136,0.0424898681287,46914,"Grissom AFB, IN",IN,46914
6794,0.13461185791,0.0182315916549,0.585963210996,0.13461185791,46919,"Converse, IN",IN,46919
6795,0.176038887612,0.0244563063266,0.59034448916,0.176038887612,46923,"Delphi, IN",IN,46923
6796,0.0742406033826,0.0155935619426,0.609424269331,0.0742406033826,46928,"Fairmount, IN",IN,46928
6797,0.0632897263368,0.020209082933,0.599983752998,0.0632897263368,46929,"Flora, IN",IN,46929
6798,0.0252353342476,0.0212263193288,0.673212148795,0.0252353342476,46932,"Galveston, IN",IN,46932
6799,0.128144228379,0.0130224214177,0.573091985306,0.128144228379,46933,"Gas City, IN",IN,46933
6800,0.121437789855,0.0293089312323,0.647164659513,0.121437789855,46936,"Greentown, IN",IN,46936
6801,0.0362250304346,0.0142973457687,0.542662846484,0.0362250304346,46938,"Jonesboro, IN",IN,46938
6802,0.123824495498,0.0178266601116,0.57813889348,0.123824495498,46939,"Kewanna, IN",IN,46939
6803,0.48481409188,0.0117946959715,0.526160647701,0.48481409188,46947,"Logansport, IN",IN,46947
6804,0.0633452943025,0.0160936295099,0.557630892701,0.0633452943025,46951,"Macy, IN",IN,46951
6805,0.285624185403,0.0185116074526,0.524157042128,0.285624185403,46952,"Marion, IN",IN,46952
6806,0.396090368886,0.00907079719492,0.493851034084,0.396090368886,46953,"Marion, IN",IN,46953
6807,0.151324544355,0.0226966499991,0.579060980186,0.151324544355,46962,"North Manchester, IN",IN,46962
6808,0.23648868573,0.0122958544681,0.528597074756,0.23648868573,46970,"Peru, IN",IN,46970
6809,0.111174813174,0.0248599941341,0.527540998378,0.111174813174,46975,"Rochester, IN",IN,46975
6810,0.158735543179,0.012191098688,0.643642094697,0.158735543179,46978,"Royal Center, IN",IN,46978
6811,0.0708031801711,0.031665148216,0.676136151519,0.0708031801711,46979,"Russiaville, IN",IN,46979
6812,0.0531446165526,0.0171791996907,0.604688864726,0.0531446165526,46982,"Silver Lake, IN",IN,46982
6813,0.026602197582,0.0197323868711,0.595448804861,0.026602197582,46986,"Swayzee, IN",IN,46986
6814,0.211778501099,0.0256754534543,0.600147432743,0.211778501099,46987,"Sweetser, IN",IN,46987
6815,0.024656117804,0.0137694157059,0.570699673147,0.024656117804,46991,"Van Buren, IN",IN,46991
6816,0.0714034272589,0.0177531071952,0.57632100745,0.0714034272589,46992,"Wabash, IN",IN,46992
6817,0.0653258246404,0.0181975645085,0.629147259788,0.0653258246404,46994,"Walton, IN",IN,46994
6818,0.0716590847158,0.0192837734704,0.534903018252,0.0716590847158,46996,"Winamac, IN",IN,46996
6819,0.0681434905339,0.0313689189718,0.597897363836,0.0681434905339,47001,"Aurora, IN",IN,47001
6820,0.0617746083992,0.0398748096107,0.673725793191,0.0617746083992,47006,"Batesville, IN",IN,47006
6821,0.0682433558315,0.0329870453797,0.562503806184,0.0682433558315,47012,"Brookville, IN",IN,47012
6822,0.0331899170787,0.0457175434007,0.723364311654,0.0331899170787,47022,"Guilford, IN",IN,47022
6823,0.0918944909232,0.0206850682293,0.492713208319,0.0918944909232,47024,"Laurel, IN",IN,47024
6824,0.10071404948,0.0397828150245,0.608542757625,0.10071404948,47025,"Hidden Valley, IN",IN,47025
6825,0.0690521866856,0.027987992782,0.610115490896,0.0690521866856,47031,"Milan, IN",IN,47031
6826,0.0282598120035,0.0268950716567,0.582338027269,0.0282598120035,47032,"Moores Hill, IN",IN,47032
6827,0.126690924104,0.0224783269414,0.573984600251,0.126690924104,47037,"Osgood, IN",IN,47037
6828,0.08090857852,0.027760361789,0.624575195664,0.08090857852,47040,"Rising Sun, IN",IN,47040
6829,0.0539909893491,0.0356185036474,0.667040591267,0.0539909893491,47041,"Sunman, IN",IN,47041
6830,0.0613275496081,0.0257606509992,0.581091548685,0.0613275496081,47042,"Versailles, IN",IN,47042
6831,0.0471410421106,0.021805123111,0.525749881009,0.0471410421106,47043,"Vevay, IN",IN,47043
6832,0.0318352316202,0.0427202305364,0.685643703449,0.0318352316202,47060,"West Harrison, IN",IN,47060
6833,0.166982015592,0.028814936665,0.678891417286,0.166982015592,47106,"Borden, IN",IN,47106
6834,0.242393712688,0.020334227996,0.583325803618,0.242393712688,47111,"Charlestown, IN",IN,47111
6835,0.100563263389,0.032632155571,0.600572555666,0.100563263389,47112,"Corydon, IN",IN,47112
6836,0.0418422494863,0.0213480624573,0.567979023566,0.0418422494863,47115,"Depauw, IN",IN,47115
6837,0.107514219813,0.0295620344837,0.665614158601,0.107514219813,47117,"Elizabeth, IN",IN,47117
6838,0.0714786201888,0.0510283699212,0.705054148608,0.0714786201888,47119,"Floyds Knobs, IN",IN,47119
6839,0.0422396146734,0.0414492391885,0.686507334555,0.0422396146734,47122,"Georgetown, IN",IN,47122
6840,0.0352231968878,0.0421671146579,0.694367146978,0.0352231968878,47124,"Greenville, IN",IN,47124
6841,0.0614467504764,0.0233555403754,0.612970138183,0.0614467504764,47126,"Henryville, IN",IN,47126
6842,0.385585821461,0.0169606723263,0.568251878465,0.385585821461,47129,"Clarksville, IN",IN,47129
6843,0.366026714422,0.0199548835283,0.581731454203,0.366026714422,47130,"Jeffersonville, IN",IN,47130
6844,0.0500931521263,0.040386500997,0.649495221176,0.0500931521263,47136,"Lanesville, IN",IN,47136
6845,0.0400678445435,0.0234945564765,0.613525686963,0.0400678445435,47138,"Lexington, IN",IN,47138
6846,0.153124016209,0.0164602315412,0.603376343582,0.153124016209,47145,"Milltown, IN",IN,47145
6847,0.29920750809,0.0295754695044,0.530150666273,0.29920750809,47150,"New Albany, IN",IN,47150
6848,0.066378684899,0.0243210206855,0.57890056119,0.066378684899,47164,"Palmyra, IN",IN,47164
6849,0.0210770972428,0.0243343485934,0.572028330312,0.0210770972428,47165,"Pekin, IN",IN,47165
6850,0.0700608777737,0.0211753544547,0.559468146194,0.0700608777737,47167,"Salem, IN",IN,47167
6851,0.0753945973879,0.0238185791852,0.555913064379,0.0753945973879,47170,"Scottsburg, IN",IN,47170
6852,0.117614578312,0.0305289927496,0.663171947464,0.117614578312,47172,"Sellersburg, IN",IN,47172
6853,0.396993008005,0.0318206616794,0.589518495674,0.396993008005,47201,"Columbus, IN",IN,47201
6854,0.231930074388,0.0415190988837,0.642157662492,0.231930074388,47203,"Columbus, IN",IN,47203
6855,0.0600203808289,0.0182769542858,0.559441419163,0.0600203808289,47223,"Butlerville, IN",IN,47223
6856,0.0663214958725,0.0323133522943,0.603899765505,0.0663214958725,47232,"Elizabethtown, IN",IN,47232
6857,0.0149230277609,0.0248858866354,0.631471445472,0.0149230277609,47234,"Flat Rock, IN",IN,47234
6858,0.10347153148,0.0311805971789,0.592666869194,0.10347153148,47240,"Greensburg, IN",IN,47240
6859,0.117294368365,0.0230722172897,0.574245549338,0.117294368365,47243,"Hanover, IN",IN,47243
6860,0.0382349889059,0.0252121323365,0.621420943418,0.0382349889059,47246,"Hope, IN",IN,47246
6861,0.167135215775,0.025873031082,0.584304132258,0.167135215775,47250,"Madison, IN",IN,47250
6862,0.118189301353,0.0233801422371,0.541399949288,0.118189301353,47265,"North Vernon, IN",IN,47265
6863,0.0656159354816,0.0224590858006,0.578362334011,0.0656159354816,47272,"St. Paul, IN",IN,47272
6864,0.0,0.0273766799818,0.679881145436,0.0,47273,"Scipio, IN",IN,47273
6865,0.288079737776,0.0285409804089,0.592371432003,0.288079737776,47274,"Seymour, IN",IN,47274
6866,0.0484734466044,0.0223057890568,0.610516271412,0.0484734466044,47283,"Westport, IN",IN,47283
6867,0.275869630696,0.00645871854346,0.44431195126,0.275869630696,47302,"Muncie, IN",IN,47302
6868,0.322132644594,0.0126822638524,0.448248451318,0.322132644594,47303,"Muncie, IN",IN,47303
6869,0.444749498797,0.00555215091217,0.365846150159,0.444749498797,47305,"Muncie, IN",IN,47305
6870,0.0548622720696,0.014404058274,0.615838963816,0.0548622720696,47320,"Albany, IN",IN,47320
6871,0.120271849143,0.0184080377562,0.539830926202,0.120271849143,47330,"Centerville, IN",IN,47330
