,income_index,zip5,housing_index,urban_index,diversity_index,ZIPName,State,ZCTA5
52,0.648102858823,1301,0.056684644196,0.00402832824981,0.226556043741,"Greenfield Town, MA",MA,Z01301
53,0.728674124515,1330,0.0738419250666,0.000262164926858,0.0947795031389,"Ashfield, MA",MA,Z01330
54,0.666458337402,1331,0.0372671896349,0.00144571705409,0.21119630661,"Athol, MA",MA,Z01331
55,0.714713858279,1337,0.0646437172509,0.000404604974859,0.128842425156,"Bernardston, MA",MA,Z01337
56,0.732727660533,1338,0.0657982858573,0.000314060343557,0.0,"Buckland, MA",MA,Z01338
57,0.669553767649,1339,0.0644178069236,0.000151740904816,0.0551766971608,"Charlemont, MA",MA,Z01339
58,0.681274045893,1340,0.0604177021332,0.000223353180863,0.152333963969,"Colrain, MA",MA,Z01340
59,0.744549453806,1341,0.0846933152813,0.000297987292311,0.120541954128,"Conway, MA",MA,Z01341
60,0.706608938701,1344,0.057913651945,0.000637380669661,0.164643317301,"Erving, MA",MA,Z01344
61,0.720708542042,1351,0.0648272643143,0.000629320412755,0.23486112243,"Montague, MA",MA,Z01351
62,0.737666926283,1354,0.0640631596909,0.000632250985241,0.220042753945,"Gill, MA",MA,Z01354
63,0.717547654965,1360,0.0663975712303,0.000513053317262,0.109447802028,"Northfield, MA",MA,Z01360
64,0.648041631581,1364,0.0510117433575,0.00117849497833,0.104080571797,"Orange, MA",MA,Z01364
65,0.741770156662,1366,0.0619728838581,0.000183350700682,0.0750308817761,"Petersham, MA",MA,Z01366
66,0.696184515583,1368,0.0484827968585,0.00017483946918,0.0829119935555,"Royalston, MA",MA,Z01368
67,0.694706370302,1370,0.0718312971731,0.000475577515318,0.0689552226284,"Shelburne Falls, MA",MA,Z01370
68,0.731842693181,1373,0.0753355762688,0.00110452224777,0.0769863921595,"South Deerfield, MA",MA,Z01373
69,0.674074574241,1375,0.0825271041714,0.00150189054955,0.235372157578,"Sunderland, MA",MA,Z01375
70,0.589365678622,1376,0.0539370633835,0.0110266184939,0.216533079531,"Turners Falls, MA",MA,Z01376
71,0.626393608618,1420,0.0434487857123,0.0077188347533,0.590299743122,"Fitchburg, MA",MA,Z01420
72,0.752884140271,1430,0.0540358557224,0.000954937459635,0.143102168121,"Ashburnham, MA",MA,Z01430
73,0.755209353858,1431,0.0748134455243,0.000752381365227,0.056870437906,"Ashby, MA",MA,Z01431
74,0.710125276737,1432,0.0813915300043,0.00486639683973,0.233766007076,"Ayer, MA",MA,Z01432
75,0.647498107958,1440,0.0418451286526,0.00490975452267,0.298045777523,"Gardner, MA",MA,Z01440
76,0.800916710643,1450,0.115762615348,0.00188514766388,0.1187116559,"Groton, MA",MA,Z01450
77,0.754802557949,1452,0.0616399013309,0.000618968899949,0.031529638198,"Hubbardston, MA",MA,Z01452
78,0.687382832943,1453,0.0564056975991,0.00833093734321,0.481757414281,"Leominster, MA",MA,Z01453
79,0.777956510368,1460,0.11254559339,0.00313350355202,0.145188863001,"Littleton, MA",MA,Z01460
80,0.737291232497,1462,0.0676029788493,0.00220980987498,0.159166954878,"Lunenburg, MA",MA,Z01462
81,0.74318063046,1463,0.0878170717539,0.00295128114489,0.0895740423863,"Pepperell, MA",MA,Z01463
82,0.701501783031,1464,0.0836406239188,0.00278640787154,0.554400739459,"Shirley, MA",MA,Z01464
83,0.71117383232,1468,0.0495780150893,0.0010900673636,0.0470554358922,"Templeton, MA",MA,Z01468
84,0.748638078146,1469,0.0753495445771,0.00172436907154,0.0858754841264,"Townsend, MA",MA,Z01469
85,0.759320584148,1473,0.0598556885488,0.00119150957579,0.0755785445508,"Westminster, MA",MA,Z01473
86,0.756640096487,1474,0.0780257730284,0.00124283321666,0.0726831416229,"West Townsend, MA",MA,Z01474
87,0.68605867825,1475,0.0441424330684,0.00139037191988,0.197877666296,"Winchendon, MA",MA,Z01475
88,0.740803413486,1501,0.061548546918,0.00603564093058,0.117215528246,"Auburn, MA",MA,Z01501
89,0.778160354633,1503,0.0974126664117,0.00128171068404,0.130712337679,"Berlin, MA",MA,Z01503
90,0.739344726413,1504,0.0619223200828,0.00472790119897,0.191659692129,"Blackstone, MA",MA,Z01504
91,0.767644952151,1505,0.0825619671403,0.00157303475656,0.197459128802,"Boylston, MA",MA,Z01505
92,0.732037030494,1506,0.0536562666756,0.00126497703384,0.0374483898521,"Brookfield, MA",MA,Z01506
93,0.772663297852,1507,0.0710701915469,0.00178525132073,0.0994466392103,"Charlton, MA",MA,Z01507
94,0.69753463351,1510,0.0602631806774,0.0139586522036,0.374777846788,"Clinton, MA",MA,Z01510
