ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z00601,601,166659789,799296,64.35,0.31,18570,7744,18.180556,-66.749961
Z00602,602,79288158,4446273,30.61,1.72,41520,18073,18.362268,-67.17613
Z00603,603,81880442,183425,31.61,0.07,54689,25653,18.455183,-67.119887
Z00606,606,109580061,12487,42.31,0,6615,2877,18.158345,-66.932911
Z00610,610,93021467,4172001,35.92,1.61,29016,12618,18.290955,-67.125868
Z00612,612,175106243,9809163,67.61,3.79,67010,30992,18.402239,-66.7114
Z00616,616,29870473,149147,11.53,0.06,11017,4896,18.420413,-66.671979
Z00617,617,39347158,3987969,15.19,1.54,24597,10594,18.445146,-66.559696
Z00622,622,75077028,1694917,28.99,0.65,7853,8714,17.991245,-67.153993
Z00623,623,98367847,1633540,37.98,0.63,43061,21426,18.083435,-67.153877
Z00624,624,111791516,2524878,43.16,0.97,26241,9905,18.063275,-66.715966
Z00627,627,120058334,3507026,46.35,1.35,35159,14431,18.41503,-66.861879
Z00631,631,10414662,669970,4.02,0.26,1852,842,18.190607,-66.832041
Z00637,637,89226022,25323,34.45,0.01,25287,10962,18.076713,-66.947389
Z00638,638,171055117,493335,66.04,0.19,18941,7805,18.291088,-66.513306
Z00641,641,242237480,3466212,93.53,1.34,31191,13358,18.262962,-66.71402
Z00646,646,53611823,3321248,20.7,1.28,38199,16699,18.433167,-66.285941
Z00647,647,39379804,8013314,15.2,3.09,6172,3482,17.963614,-66.947127
Z00650,650,79052810,557181,30.52,0.22,14998,6124,18.349416,-66.578079
Z00652,652,17906137,16436,6.91,0.01,4715,1947,18.451935,-66.603113
Z00653,653,39477273,5203941,15.24,2.01,13307,6217,17.985452,-66.888933
Z00656,656,83968290,4356121,32.42,1.68,21481,8680,18.053539,-66.792931
Z00659,659,108211415,3039180,41.78,1.17,41953,17365,18.407221,-66.809008
Z00660,660,29380814,486,11.34,0,17250,7783,18.134645,-67.116158
Z00662,662,114907988,5341043,44.37,2.06,43282,20199,18.467481,-67.015974
Z00664,664,117897373,3405,45.52,0,16784,6590,18.213419,-66.589613
Z00667,667,156201164,28264208,60.31,10.91,25968,12508,18.003422,-67.03581
Z00669,669,159419203,168344,61.55,0.06,29744,12458,18.270899,-66.866375
Z00670,670,118025360,357819,45.57,0.14,9807,3973,18.236832,-66.990114
Z00674,674,116400264,6903390,44.94,2.67,44457,19409,18.422908,-66.489337
Z00676,676,130636635,56483,50.44,0.02,40316,16887,18.377751,-67.080344
Z00677,677,37137111,3594951,14.34,1.39,15272,9730,18.33256,-67.227006
Z00678,678,68274095,3796687,26.36,1.47,27819,11619,18.434099,-66.927384
Z00680,680,166248984,19828643,64.19,7.66,58140,27992,18.181938,-67.133802
Z00682,682,37348163,6330100,14.42,2.44,32615,15489,18.221443,-67.156062
Z00683,683,135168308,29361,52.19,0.01,33772,15219,18.1078,-67.037263
Z00685,685,200808224,2058239,77.53,0.79,42831,18877,18.332927,-66.959875
Z00687,687,100675764,140026,38.87,0.05,32610,12381,18.318386,-66.418034
Z00688,688,82401202,77467,31.82,0.03,13543,5353,18.382264,-66.626438
Z00690,690,7291346,12393,2.82,0,6255,2773,18.49551,-67.098671
Z00692,692,69307906,1999296,26.76,0.77,37511,16026,18.410187,-66.336556
Z00693,693,101838924,3653903,39.32,1.41,61038,25884,18.423023,-66.39723
Z00694,694,2043548,1957116,0.79,0.76,328,188,18.48237,-66.391079
Z00698,698,180309254,7761848,69.62,3,41782,17924,18.064848,-66.856319
Z00703,703,76855070,28384,29.67,0.01,28605,11417,18.248401,-66.130662
Z00704,704,12627769,1773833,4.88,0.68,8577,3871,17.96577,-66.219555
Z00705,705,82748292,72306,31.95,0.03,25598,10297,18.128961,-66.266683
Z00707,707,54561503,3816670,21.07,1.47,12225,5546,18.013648,-65.920712
Z00714,714,37859151,42765,14.62,0.02,19566,8871,18.000198,-66.042943
Z00715,715,20434129,150234,7.89,0.06,3656,1532,18.011233,-66.560065
Z00716,716,22081777,7967534,8.53,3.08,33779,14275,17.990567,-66.607542
Z00717,717,5417561,109099,2.09,0.04,18457,9518,18.003222,-66.614037
Z00718,718,117172329,3457285,45.24,1.33,26606,11970,18.231988,-65.759623
Z00719,719,72527843,898356,28,0.35,30990,11496,18.289927,-66.25344
Z00720,720,154368018,286519,59.6,0.11,23129,9059,18.217946,-66.428076
Z00723,723,119554076,1319657,46.16,0.51,19277,9358,18.043822,-66.015578
Z00725,725,109190812,1190612,42.16,0.46,89374,38678,18.218819,-66.042375
Z00727,727,55827071,26963,21.55,0.01,58382,23679,18.215308,-66.073565
Z00728,728,40524719,21618806,15.65,8.35,44908,16698,17.989853,-66.664116
Z00729,729,87958918,364682,33.96,0.14,53750,21688,18.329829,-65.885142
Z00730,730,16850026,123834,6.51,0.05,35742,16253,18.030831,-66.616838
Z00731,731,123332268,3082106,47.62,1.19,15524,5962,18.108039,-66.634653
Z00735,735,60362550,1842364,23.31,0.71,13730,7749,18.252604,-65.682494
Z00736,736,142701655,79564,55.1,0.03,51532,22315,18.103624,-66.151667
Z00738,738,76243980,78712514,29.44,30.39,34922,18383,18.304458,-65.698711
Z00739,739,81792808,1113746,31.58,0.43,39678,15565,18.177266,-66.160577
Z00740,740,1103423,40886,0.43,0.02,2071,1008,18.331159,-65.63412
Z00741,741,6121151,2792707,2.36,1.08,4971,2196,18.163746,-65.754021
Z00745,745,133676216,6155023,51.61,2.38,55062,24529,18.35284,-65.817813
Z00751,751,121664561,29378177,46.97,11.34,23129,10808,18.001317,-66.252183
Z00754,754,132164302,241740,51.03,0.09,40828,17146,18.14713,-65.976289
Z00757,757,77246859,5609947,29.83,2.17,23263,9571,17.995441,-66.391334
Z00765,765,49309561,1749411,19.04,0.68,9098,5339,18.130096,-65.439369
Z00766,766,103701762,3739022,40.04,1.44,26488,9947,18.133196,-66.476916
Z00767,767,143501366,6805011,55.41,2.63,38019,15831,18.069413,-65.89649
Z00769,769,198168393,38999,76.51,0.02,40248,16612,18.1038,-66.357586
Z00771,771,87591047,32514,33.82,0.01,38394,16142,18.187201,-65.871196
Z00772,772,37975532,13639704,14.66,5.27,23105,10211,18.438969,-65.905174
Z00773,773,62964008,2572484,24.31,0.99,20068,10968,18.343799,-65.726378
Z00775,775,27344697,33437932,10.56,12.91,1786,1569,18.327485,-65.295977
Z00777,777,68844419,327723,26.58,0.13,40684,16867,18.224133,-65.908542
Z00778,778,76776403,1116806,29.64,0.43,45429,18127,18.263023,-65.979078
Z00780,780,52032587,838321,20.09,0.32,13800,5295,18.102834,-66.568105
Z00782,782,69008763,319734,26.64,0.12,19304,7535,18.225708,-66.221633
Z00783,783,108382318,16292,41.85,0.01,36557,13798,18.30391,-66.326179
Z00784,784,143887987,16278766,55.56,6.29,44637,19159,18.010721,-66.133613
Z00786,786,666250,0,0.26,0,357,145,18.155424,-66.229907
Z00791,791,95711037,2868576,36.95,1.11,53417,25871,18.136752,-65.821487
Z00794,794,91419799,77809,35.3,0.03,30585,11502,18.199014,-66.309782
Z00795,795,119811901,958123,46.26,0.37,48736,19196,18.060532,-66.499473
Z00901,901,2534091,30548,0.98,0.01,7080,4990,18.465424,-66.104724
Z00906,906,8247,0,0,0,4,168,18.46446,-66.094995
Z00907,907,3132947,347421,1.21,0.13,17458,13224,18.452679,-66.078113
Z00909,909,1575598,49304,0.61,0.02,6230,3805,18.44161,-66.067132
Z00911,911,1245504,0,0.48,0,8623,6096,18.451128,-66.056223
Z00912,912,854044,0,0.33,0,6801,3884,18.445289,-66.060139
Z00913,913,843188,0,0.33,0,9312,4065,18.44997,-66.042664
Z00915,915,3601480,820884,1.39,0.32,32820,16538,18.437179,-66.045571
Z00917,917,3360017,46991,1.3,0.02,21053,12348,18.420673,-66.050105
Z00918,918,5520556,101247,2.13,0.04,18056,10850,18.421022,-66.065789
Z00920,920,7331380,135936,2.83,0.05,17893,9322,18.414292,-66.088042
Z00921,921,6931388,0,2.68,0,37763,17728,18.392273,-66.088552
Z00923,923,5283986,7303,2.04,0,29086,13969,18.409307,-66.038888
Z00924,924,12143485,1620,4.69,0,56691,24971,18.399196,-66.012452
Z00925,925,1158082,0,0.45,0,8696,5413,18.400296,-66.050602
Z00926,926,62575083,1052384,24.16,0.41,108862,47317,18.3454,-66.051545
Z00927,927,6804165,5831,2.63,0,14936,7893,18.387953,-66.072098
Z00934,934,1940428,26786,0.75,0.01,288,140,18.411313,-66.124234
Z00936,936,417955,0,0.16,0,681,4,18.395463,-66.073773
Z00949,949,45604190,2130451,17.61,0.82,82278,33340,18.430695,-66.212833
Z00950,950,6204986,1989345,2.4,0.77,9,5,18.463693,-66.234559
Z00951,951,1075640,29541,0.42,0.01,35,19,18.42753,-66.253789
Z00952,952,3207681,0,1.24,0,10008,4169,18.427441,-66.182032
Z00953,953,69144842,1365378,26.7,0.53,73014,26609,18.360727,-66.251526
Z00956,956,68564483,215310,26.47,0.08,79304,32550,18.319539,-66.168891
Z00957,957,11965797,1407,4.62,0,45680,18275,18.368533,-66.187693
Z00959,959,16609667,81790,6.41,0.03,50560,22445,18.388924,-66.154999
Z00960,960,2409664,2485,0.93,0,1779,0,18.416919,-66.145795
Z00961,961,13367398,205470,5.16,0.08,32429,13394,18.412229,-66.165168
Z00962,962,9876249,1152266,3.81,0.44,22491,8939,18.442299,-66.145357
Z00965,965,1689483,342594,0.65,0.13,9134,3848,18.433757,-66.114752
Z00966,966,8401213,4490,3.24,0,16676,7894,18.401536,-66.117584
Z00968,968,1180763,0,0.46,0,3478,2228,18.406077,-66.101223
Z00969,969,12622328,39797,4.87,0.02,42219,17775,18.368062,-66.108062
Z00971,971,41324409,94183,15.96,0.04,30986,12895,18.318832,-66.119215
Z00976,976,43356810,738172,16.74,0.29,65136,26564,18.336408,-65.994057
Z00979,979,4061150,504754,1.57,0.19,17030,12765,18.444388,-66.030129
Z00982,982,3654231,19111,1.41,0.01,16428,7402,18.411261,-65.992045
Z00983,983,8987630,622892,3.47,0.24,39234,16985,18.418007,-65.97707
Z00985,985,21083058,759741,8.14,0.29,36553,15241,18.408588,-65.946933
Z00987,987,64272333,453240,24.82,0.17,63661,25557,18.338161,-65.941083
Z01001,1001,29635470,2229770,11.44,0.86,16769,7557,42.062332,-72.628274
Z01002,1002,142556362,4280260,55.04,1.65,29049,10388,42.363977,-72.458507
Z01003,1003,1842384,12788,0.71,0,10372,5,42.389941,-72.524108
Z01005,1005,114586903,667042,44.24,0.26,5079,2044,42.418848,-72.106598
Z01007,1007,136345999,6943853,52.64,2.68,14649,5839,42.27901,-72.400468
Z01008,1008,139331467,5086093,53.8,1.96,1263,586,42.191846,-72.957325
Z01009,1009,2065002,23,0.8,0,741,341,42.211969,-72.341433
Z01010,1010,89982811,1420260,34.74,0.55,3609,1598,42.129477,-72.205302
Z01011,1011,81884563,342573,31.62,0.13,1370,659,42.300281,-72.968716
Z01012,1012,33977749,545075,13.12,0.21,661,343,42.375425,-72.858192
Z01013,1013,14567022,1731910,5.62,0.67,23188,10246,42.154904,-72.602804
Z01020,1020,32308345,1178303,12.47,0.45,29668,13688,42.172698,-72.561835
Z01022,1022,12322151,2118,4.76,0,2451,1209,42.197741,-72.542713
Z01026,1026,62170236,332515,24,0.13,946,513,42.465494,-72.918267
Z01027,1027,104896540,1189669,40.5,0.46,17660,8311,42.295008,-72.751877
Z01028,1028,33686035,181933,13.01,0.07,15720,6106,42.059614,-72.501234
Z01029,1029,41047358,5315012,15.85,2.05,789,1078,42.193394,-73.044647
Z01030,1030,30736637,469718,11.87,0.18,11669,4582,42.072925,-72.686971
Z01031,1031,20959213,0,8.09,0,1308,596,42.329397,-72.19819
Z01032,1032,30481491,887372,11.77,0.34,570,363,42.457613,-72.81478
Z01033,1033,72068288,667254,27.83,0.26,6227,2454,42.244959,-72.500034
Z01034,1034,185271061,5014353,71.53,1.94,2021,1145,42.098207,-72.961272
Z01035,1035,59791827,3939738,23.09,1.52,5250,2230,42.356482,-72.568576
Z01036,1036,50521716,105963,19.51,0.04,5109,1937,42.062946,-72.417297
Z01037,1037,34391428,235915,13.28,0.09,838,253,42.367961,-72.18871
Z01038,1038,25893889,2245685,10,0.87,2545,1181,42.385496,-72.606929
Z01039,1039,34206722,595533,13.21,0.23,1336,640,42.404278,-72.688922
Z01040,1040,55116741,4025645,21.28,1.55,39880,16384,42.211656,-72.642448
Z01050,1050,99270932,2581121,38.33,1,2530,1167,42.28675,-72.869693
Z01053,1053,13289904,251888,5.13,0.1,1685,636,42.356301,-72.713584
Z01054,1054,59071058,425618,22.81,0.16,1851,811,42.469588,-72.484502
Z01056,1056,70460584,2836425,27.2,1.1,21103,8383,42.188865,-72.459079
Z01057,1057,116307957,1607537,44.91,0.62,8534,3470,42.093596,-72.321494
Z01060,1060,28276974,3261695,10.92,1.26,15284,7307,42.321488,-72.630588
Z01062,1062,47018995,396854,18.15,0.15,11150,4784,42.328314,-72.703923
Z01063,1063,100502,0,0.04,0,430,1,42.318882,-72.63853
Z01066,1066,1839260,121053,0.71,0.05,64,25,42.406903,-72.655018
Z01068,1068,53949370,1008115,20.83,0.39,1902,711,42.350862,-72.044248
Z01069,1069,72688936,766584,28.07,0.3,8469,3779,42.187794,-72.308469
Z01070,1070,53200760,594033,20.54,0.23,629,320,42.518446,-72.919017
Z01071,1071,40349276,803435,15.58,0.31,1596,638,42.16006,-72.873853
Z01072,1072,52021993,1342210,20.09,0.52,1478,748,42.456968,-72.417244
Z01073,1073,72913678,2077741,28.15,0.8,5792,2337,42.226948,-72.741588
Z01074,1074,220752,52379,0.09,0.02,319,132,42.387603,-72.09323
Z01075,1075,45888980,1773571,17.72,0.68,17527,7162,42.256346,-72.580763
Z01077,1077,79825932,2153492,30.82,0.83,9502,3916,42.05257,-72.777353
Z01079,1079,2921898,108238,1.13,0.04,692,325,42.197424,-72.32702
Z01080,1080,4473453,258220,1.73,0.1,2334,1093,42.182218,-72.365654
Z01081,1081,37544477,568325,14.5,0.22,1698,820,42.061313,-72.234411
Z01082,1082,119411357,16183211,46.1,6.25,10322,4768,42.293533,-72.278599
Z01083,1083,40871193,156824,15.78,0.06,2888,1270,42.203642,-72.194599
Z01084,1084,23821014,222863,9.2,0.09,176,88,42.39237,-72.882235
Z01085,1085,155258467,2964576,59.95,1.14,41117,16363,42.153503,-72.771602
Z01086,1086,96152,0,0.04,0,687,0,42.130446,-72.793967
Z01088,1088,13468904,36984,5.2,0.01,670,357,42.391709,-72.646494
Z01089,1089,43286505,2094117,16.71,0.81,28391,12697,42.125451,-72.649734
Z01092,1092,17359776,80681,6.7,0.03,1394,591,42.191868,-72.235107
Z01093,1093,13063805,16741,5.04,0.01,325,156,42.435121,-72.654963
Z01094,1094,2942290,169907,1.14,0.07,351,171,42.359108,-72.1368
Z01095,1095,58570047,581247,22.61,0.22,14319,5535,42.127327,-72.427404
Z01096,1096,82059161,532858,31.68,0.21,2217,1029,42.39714,-72.763572
Z01097,1097,4426154,208868,1.71,0.08,111,40,42.178038,-72.832611
Z01098,1098,81200703,384439,31.35,0.15,1101,610,42.394315,-72.943115
Z01103,1103,1191989,205067,0.46,0.08,2479,1661,42.104106,-72.592028
Z01104,1104,13509560,212850,5.22,0.08,22865,9381,42.134009,-72.565378
Z01105,1105,3219040,306964,1.24,0.12,12350,5586,42.095207,-72.577579
Z01106,1106,24090566,1331605,9.3,0.51,16021,6107,42.047565,-72.57113
Z01107,1107,3903756,89142,1.51,0.03,11611,4252,42.12106,-72.607068
Z01108,1108,9643254,406401,3.72,0.16,26688,10992,42.080692,-72.560791
Z01109,1109,14094949,487865,5.44,0.19,30250,10818,42.119674,-72.549726
Z01118,1118,9312203,260877,3.6,0.1,14071,5911,42.093732,-72.525905
Z01119,1119,9194297,241739,3.55,0.09,14152,5185,42.124978,-72.51121
Z01128,1128,2892857,1287,1.12,0,2631,1077,42.092296,-72.489135
Z01129,1129,8867992,237886,3.42,0.09,7019,2982,42.119062,-72.487402
Z01151,1151,6134290,464565,2.37,0.18,8698,3699,42.15186,-72.509131
Z01199,1199,28277,0,0.01,0,0,0,42.120563,-72.604468
Z01201,1201,137058017,6752938,52.92,2.61,46504,22443,42.448236,-73.273727
Z01220,1220,63689337,204142,24.59,0.08,8603,4434,42.623799,-73.116737
Z01222,1222,8565484,333235,3.31,0.13,829,361,42.058703,-73.322175
Z01223,1223,180653860,5294145,69.75,2.04,2314,1986,42.312225,-73.110124
Z01224,1224,720507,82246,0.28,0.03,182,81,42.513356,-73.195594
Z01225,1225,65025449,1821072,25.11,0.7,3117,1466,42.563363,-73.153566
Z01226,1226,68319649,366617,26.38,0.14,6945,2993,42.481119,-73.135073
Z01229,1229,1897309,1745,0.73,0,95,61,42.276339,-73.335896
Z01230,1230,237032746,4530189,91.52,1.75,8430,4633,42.172941,-73.324463
Z01235,1235,118213863,2794609,45.64,1.08,2766,1507,42.43062,-73.064073
Z01236,1236,12437975,157895,4.8,0.06,1509,784,42.266496,-73.378393
Z01237,1237,160121626,1140685,61.82,0.44,2496,1334,42.547818,-73.268033
Z01238,1238,90217712,2706357,34.83,1.04,6047,3155,42.297501,-73.230148
Z01240,1240,55374233,1159162,21.38,0.45,4534,2920,42.367861,-73.269768
Z01242,1242,1288423,24934,0.5,0.01,476,214,42.333734,-73.249199
Z01243,1243,48306686,57277,18.65,0.02,334,188,42.350122,-73.024112
Z01244,1244,6345198,70886,2.45,0.03,151,84,42.118094,-73.257497
Z01245,1245,72467551,2047530,27.98,0.79,985,914,42.186893,-73.223105
Z01247,1247,136035510,1480109,52.52,0.57,16087,7785,42.698437,-73.08409
Z01253,1253,47310437,1044523,18.27,0.4,731,568,42.206682,-73.113214
Z01254,1254,37713379,147081,14.56,0.06,972,591,42.382019,-73.365492
Z01255,1255,134177247,3047061,51.81,1.18,915,671,42.107496,-73.118607
Z01256,1256,92838285,452299,35.85,0.17,692,357,42.594166,-73.022319
Z01257,1257,93848678,2221979,36.24,0.86,2121,1231,42.085245,-73.367482
Z01258,1258,66839821,399664,25.81,0.15,374,338,42.10928,-73.462886
Z01259,1259,65593267,2042077,25.33,0.79,635,431,42.075469,-73.234376
Z01260,1260,6503634,101867,2.51,0.04,240,134,42.295696,-73.342543
Z01262,1262,31167340,2127685,12.03,0.82,1238,1068,42.292202,-73.319209
Z01264,1264,29425420,90081,11.36,0.03,137,109,42.23159,-73.202428
Z01266,1266,67473737,780772,26.05,0.3,1463,1096,42.312338,-73.387824
Z01267,1267,141293372,342660,54.55,0.13,7989,3202,42.671616,-73.246981
Z01270,1270,82512104,420829,31.86,0.16,778,441,42.515272,-73.031166
Z01301,1301,66020418,1388444,25.49,0.54,17700,8485,42.626761,-72.60153
Z01330,1330,86313800,631880,33.33,0.24,1506,771,42.513947,-72.821517
Z01331,1331,137844144,3586460,53.22,1.38,13263,6028,42.562408,-72.19108
Z01337,1337,96405836,165266,37.22,0.06,2596,1165,42.689307,-72.582249
Z01338,1338,8946607,12299,3.45,0,187,82,42.572652,-72.824428
Z01339,1339,142392158,630079,54.98,0.24,1438,787,42.603776,-72.889644
Z01340,1340,114430561,658628,44.18,0.25,1701,954,42.694726,-72.711079
Z01341,1341,92426089,465179,35.69,0.18,1833,801,42.496937,-72.709414
Z01342,1342,46190734,2211971,17.83,0.85,1492,518,42.543889,-72.609458
Z01343,1343,12615499,76887,4.87,0.03,75,38,42.657625,-72.978931
Z01344,1344,35313664,1342460,13.63,0.52,1498,654,42.613418,-72.426427
Z01346,1346,54379277,99661,21,0.04,533,429,42.693275,-72.823113
Z01347,1347,1495232,221070,0.58,0.09,166,75,42.559294,-72.518753
Z01349,1349,19874430,573426,7.67,0.22,1091,496,42.563061,-72.482122
Z01350,1350,27768017,274112,10.72,0.11,121,77,42.727772,-72.985346
Z01351,1351,54198079,1126552,20.93,0.43,2270,1032,42.53988,-72.521689
Z01354,1354,35647707,2665409,13.76,1.03,1500,608,42.624076,-72.508643
Z01355,1355,122713549,35676837,47.38,13.77,878,418,42.458522,-72.327219
Z01360,1360,88796644,2812794,34.28,1.09,3032,1391,42.677091,-72.453876
Z01364,1364,101602863,2854976,39.23,1.1,7969,3652,42.615152,-72.289902
Z01366,1366,104649746,1453531,40.41,0.56,1277,566,42.475621,-72.192468
Z01367,1367,68727436,1770127,26.54,0.68,522,300,42.695532,-72.909148
Z01368,1368,108369099,1829133,41.84,0.71,1261,578,42.679456,-72.176935
Z01370,1370,129031063,1398461,49.82,0.54,4084,1976,42.593338,-72.726941
Z01373,1373,62576781,1471565,24.16,0.57,4600,2076,42.473862,-72.615612
Z01375,1375,36856254,1349204,14.23,0.52,3684,1729,42.466762,-72.546855
Z01376,1376,7149877,1465720,2.76,0.57,5247,2503,42.59528,-72.555002
Z01378,1378,88114809,812951,34.02,0.31,774,441,42.673533,-72.353213
Z01379,1379,78233305,962449,30.21,0.37,813,420,42.55631,-72.407148
Z01420,1420,78520256,1778875,30.32,0.69,40337,17128,42.584925,-71.816862
Z01430,1430,95807807,6750019,36.99,2.61,6089,2606,42.657005,-71.923442
Z01431,1431,61389725,1002029,23.7,0.39,3074,1191,42.676293,-71.832523
Z01432,1432,21888062,1219817,8.45,0.47,7089,3422,42.566573,-71.575135
Z01434,1434,13678208,401234,5.28,0.15,1795,122,42.539088,-71.611613
Z01436,1436,24849921,506517,9.59,0.2,3336,1214,42.603375,-72.088395
Z01438,1438,1403430,48435,0.54,0.02,559,214,42.562243,-72.031402
Z01440,1440,62268795,2487879,24.04,0.96,20347,9179,42.586516,-71.988062
Z01450,1450,84853731,2575943,32.76,0.99,10646,3989,42.61176,-71.565269
Z01451,1451,49550919,1682988,19.13,0.65,4747,1824,42.501908,-71.568201
Z01452,1452,106373488,2406515,41.07,0.93,4382,1662,42.489598,-72.002878
Z01453,1453,73735859,1369889,28.47,0.53,40883,17912,42.51996,-71.763075
Z01460,1460,42791669,2583059,16.52,1,8924,3477,42.535931,-71.490569
Z01462,1462,68579436,3269933,26.48,1.26,10086,4133,42.582607,-71.720464
Z01463,1463,58533407,1546295,22.6,0.6,11497,4348,42.670642,-71.602857
Z01464,1464,38884871,204034,15.01,0.08,7211,2427,42.573654,-71.640986
Z01467,1467,4908783,28882,1.9,0.01,316,141,42.492367,-71.609303
Z01468,1468,55425624,688465,21.4,0.27,4021,1671,42.542767,-72.068345
Z01469,1469,59261468,606711,22.88,0.23,6801,2572,42.665059,-71.695333
Z01473,1473,91766611,4719705,35.43,1.82,7277,2960,42.5546,-71.90544
Z01474,1474,25690700,78185,9.92,0.03,2125,813,42.669685,-71.752751
Z01475,1475,110986284,2716014,42.85,1.05,10270,4179,42.66816,-72.055644
Z01501,1501,40018190,2420118,15.45,0.93,16075,6770,42.198708,-71.846006
Z01503,1503,33598202,523984,12.97,0.2,2866,1189,42.384929,-71.633889
Z01504,1504,28685128,819182,11.08,0.32,9026,3628,42.039991,-71.532406
Z01505,1505,41598694,9562396,16.06,3.69,4355,1778,42.355049,-71.716157
Z01506,1506,40266781,2729462,15.55,1.05,3390,1493,42.181793,-72.107473
Z01507,1507,109254326,4179167,42.18,1.61,12981,4885,42.133935,-71.968025
Z01510,1510,14645926,4178501,5.65,1.61,13606,6397,42.411887,-71.690005
Z01515,1515,25514944,1433058,9.85,0.55,2183,931,42.209682,-72.040178
Z01516,1516,95201650,4019691,36.76,1.55,8500,3306,42.053072,-71.752241
Z01518,1518,22976455,1925342,8.87,0.74,2974,1326,42.127477,-72.118818
Z01519,1519,28261149,279201,10.91,0.11,6595,2539,42.203404,-71.679739
Z01520,1520,46830036,1794650,18.08,0.69,13997,5339,42.336371,-71.850626
Z01521,1521,31841683,1990803,12.29,0.77,2481,1365,42.046798,-72.180149
Z01522,1522,42419059,1399750,16.38,0.54,3310,1298,42.375634,-71.867382
Z01523,1523,65263989,1138106,25.2,0.44,7582,2462,42.482819,-71.675513
Z01524,1524,41375156,2508035,15.98,0.97,6696,2594,42.249603,-71.919217
Z01525,1525,1162429,81164,0.45,0.03,290,120,42.106794,-71.630518
Z01527,1527,40323227,1862226,15.57,0.72,13246,5618,42.192246,-71.777649
Z01529,1529,12706301,151536,4.91,0.06,3190,1162,42.036642,-71.578779
Z01531,1531,53842961,405495,20.79,0.16,999,390,42.319125,-72.130814
Z01532,1532,47852201,705487,18.48,0.27,14155,5314,42.323342,-71.646236
Z01534,1534,22682354,325730,8.76,0.13,5631,2123,42.142074,-71.643348
Z01535,1535,55084070,1759511,21.27,0.68,4680,2058,42.267564,-72.066876
Z01536,1536,21598203,755400,8.34,0.29,6888,2794,42.231309,-71.692642
Z01537,1537,18085937,295745,6.98,0.11,2248,1077,42.158966,-71.897051
Z01540,1540,50128319,2048507,19.35,0.79,11291,4395,42.116168,-71.857369
Z01541,1541,91709834,1032231,35.41,0.4,3413,1339,42.454125,-71.87754
Z01542,1542,10426627,422661,4.03,0.16,2202,829,42.204251,-71.908907
Z01543,1543,90918826,2972193,35.1,1.15,7973,2990,42.388977,-71.970514
Z01545,1545,53712526,2715591,20.74,1.05,35299,13955,42.284767,-71.714228
Z01550,1550,52512755,1627401,20.28,0.63,16719,7527,42.059669,-72.03404
Z01560,1560,9238873,270445,3.57,0.1,4527,1844,42.175395,-71.674223
Z01561,1561,319273,0,0.12,0,330,102,42.44397,-71.685583
Z01562,1562,85038323,3036877,32.83,1.17,11688,5295,42.247211,-71.991867
Z01564,1564,79343448,2761462,30.63,1.07,7808,2965,42.447924,-71.776045
Z01566,1566,73430539,2562230,28.35,0.99,6294,2663,42.103214,-72.079545
Z01568,1568,55529918,593264,21.44,0.23,7480,2808,42.176525,-71.603588
Z01569,1569,75315947,1580796,29.08,0.61,13569,5349,42.055892,-71.631294
Z01570,1570,32048670,5780810,12.37,2.23,16767,8011,42.047532,-71.846952
Z01571,1571,53915863,2717076,20.82,1.05,11390,4403,42.053778,-71.935075
Z01581,1581,53312878,2229292,20.58,0.86,18272,7350,42.268426,-71.613309
Z01583,1583,32672267,2354742,12.61,0.91,7591,2721,42.369417,-71.785036
Z01585,1585,66174237,1669484,25.55,0.64,4554,2049,42.240795,-72.162644
Z01588,1588,22296389,1660430,8.61,0.64,9733,3903,42.119228,-71.671821
Z01590,1590,82903473,4181050,32.01,1.61,8875,3360,42.132051,-71.750318
Z01602,1602,14936885,631588,5.77,0.24,22819,9451,42.271563,-71.849991
Z01603,1603,11691789,340396,4.51,0.13,19916,7950,42.244637,-71.843925
Z01604,1604,16677756,474175,6.44,0.18,34677,15570,42.253254,-71.767957
Z01605,1605,14612620,341309,5.64,0.13,26221,11140,42.289683,-71.787793
Z01606,1606,15358057,24039,5.93,0.01,19077,8449,42.315249,-71.795741
Z01607,1607,8199220,136988,3.17,0.05,8351,3850,42.22596,-71.78891
Z01608,1608,1159110,0,0.45,0,3888,1743,42.26198,-71.801462
Z01609,1609,9893464,56961,3.82,0.02,22421,8307,42.285114,-71.829987
Z01610,1610,5505953,9032,2.13,0,23945,8321,42.247049,-71.808366
Z01611,1611,8915204,647961,3.44,0.25,2242,916,42.237604,-71.875838
Z01612,1612,39666695,1982438,15.32,0.77,4845,1608,42.296636,-71.929607
Z01701,1701,43923156,1816225,16.96,0.7,31217,12590,42.320169,-71.440409
Z01702,1702,20957508,1972446,8.09,0.76,37206,14984,42.282576,-71.43676
Z01718,1718,121367,0,0.05,0,469,205,42.519816,-71.429283
Z01719,1719,26640078,316293,10.29,0.12,4996,2073,42.485985,-71.520985
Z01720,1720,51057015,1113826,19.71,0.43,21361,8294,42.483953,-71.438495
Z01721,1721,31933385,1395841,12.33,0.54,16593,6609,42.257755,-71.473526
Z01730,1730,35478046,460820,13.7,0.18,13221,5372,42.499331,-71.281905
