ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z04764,4764,170008341,1933731,65.64,0.75,66,84,46.398929,-68.585323
Z04765,4765,1480480446,59081627,571.62,22.81,1262,1109,46.158786,-68.591119
Z04766,4766,94620086,278430,36.53,0.11,386,190,46.892463,-68.21578
Z04768,4768,537310255,21542045,207.46,8.32,400,553,46.863157,-68.891724
Z04769,4769,196210371,4776762,75.76,1.84,9692,4608,46.688484,-67.993016
Z04772,4772,76728185,26913997,29.62,10.39,762,538,47.230084,-68.311449
Z04773,4773,101033989,1484494,39.01,0.57,723,558,47.267509,-68.22314
Z04774,4774,459157032,8558562,177.28,3.3,730,638,47.077039,-69.1545
Z04776,4776,221515480,2581310,85.53,1,925,513,45.871695,-68.324753
Z04777,4777,233410485,1188272,90.12,0.46,422,248,45.842521,-68.501076
Z04779,4779,246335515,46750936,95.11,18.05,398,629,47.114457,-68.331472
Z04780,4780,786888366,7013722,303.82,2.71,808,451,46.239244,-68.285281
Z04781,4781,126567227,3242019,48.87,1.25,560,318,47.150199,-68.613495
Z04783,4783,145659750,6564749,56.24,2.53,426,476,47.040124,-68.17505
Z04785,4785,264051658,4635905,101.95,1.79,2504,1449,47.11195,-67.99435
Z04786,4786,182198907,2500462,70.35,0.97,1970,897,46.794921,-68.192051
Z04787,4787,104225052,91298,40.24,0.04,544,236,46.534693,-67.972825
Z04841,4841,33258651,1946205,12.84,0.75,7297,3925,44.133536,-69.133822
Z04843,4843,47885623,14101491,18.49,5.44,4851,3168,44.238405,-69.064039
Z04847,4847,56877124,4968373,21.96,1.92,1536,805,44.240818,-69.189267
Z04848,4848,37009086,141389652,14.29,54.59,566,850,44.29888,-68.91525
Z04849,4849,158297229,45359123,61.12,17.51,3684,2627,44.316106,-69.025998
Z04851,4851,6014348,19800407,2.32,7.64,75,158,43.87711,-68.86868
Z04852,4852,2202210,985292,0.85,0.38,69,164,43.766543,-69.309772
Z04853,4853,29447552,31840147,11.37,12.29,354,512,44.136963,-68.867587
Z04854,4854,22990798,9203025,8.88,3.55,1580,1060,44.075525,-69.079854
Z04855,4855,5969256,7941994,2.3,3.07,307,347,43.935858,-69.263526
Z04856,4856,56043634,5975962,21.64,2.31,3330,1956,44.180452,-69.121696
